beat_name,action,expected_duration,actual_duration,variance,variance_percent,mode,act,shot,timestamp
0-0-0,show_title,0.5,8.106231689453125e-06,-0.49999189376831055,-99.99837875366211,draft,Act 1,Shot 1,1758383053.354676
0-0-1,show_grid,0.5,0.2306959629058838,-0.2693040370941162,-53.86080741882324,draft,Act 1,Shot 1,1758383053.58659
1-0-0,place_start,0.5,3.790855407714844e-05,-0.49996209144592285,-99.99241828918457,draft,Act 2,Shot 1,1758383053.589306
1-0-1,place_goal,0.5,1.621246337890625e-05,-0.4999837875366211,-99.99675750732422,draft,Act 2,Shot 1,1758383053.590623
1-0-2,place_obstacles,0.5,3.409385681152344e-05,-0.4999659061431885,-99.9931812286377,draft,Act 2,Shot 1,1758383053.59214
1-0-3,show_widgets,0.5,0.05502009391784668,-0.4449799060821533,-88.99598121643066,draft,Act 2,Shot 1,1758383053.648386
1-0-4,play_events,0.5,0.00010204315185546875,-0.49989795684814453,-99.9795913696289,draft,Act 2,Shot 1,1758383053.650667
2-0-0,trace_path,0.25,1.5020370483398438e-05,-0.2499849796295166,-99.99399185180664,draft,Act 3,Shot 1,1758383053.654052
2-0-1,show_complexity,0.5,1.6927719116210938e-05,-0.4999830722808838,-99.99661445617676,draft,Act 3,Shot 1,1758383053.656049
2-0-2,celebrate_goal,0.5,1.0013580322265625e-05,-0.49998998641967773,-99.99799728393555,draft,Act 3,Shot 1,1758383053.65778
2-0-3,outro,0.5,1.1920928955078125e-05,-0.4999880790710449,-99.99761581420898,draft,Act 3,Shot 1,1758383053.659219
